repository_id,repository_url,commit_sha
0x192/universal-android-debloater,https://github.com/0x192/universal-android-debloater.git,11f27c671cba278d71296cdef4c5a5dba06add5e
2noise/ChatTTS,https://github.com/2noise/ChatTTS.git,77b89ee281cd479f5b1a787ada330dc975ca1f2a
3b1b/manim,https://github.com/3b1b/manim.git,9d57bcf9edea2486f214e190931de2a5537f23c1
AMAI-GmbH/AI-Expert-Roadmap,https://github.com/AMAI-GmbH/AI-Expert-Roadmap.git,a4c66c2670d9004385ed0faa4fb2a729aa6b18d4
AstrBotDevs/AstrBot,https://github.com/AstrBotDevs/AstrBot.git,25374205b66a2dbf5be3a9dd1d206cf88a49a3bb
Chalarangelo/30-seconds-of-code,https://github.com/Chalarangelo/30-seconds-of-code.git,f1b2d5a65c32432a877de94a749be40a396ebed2
ClementTsang/bottom,https://github.com/ClementTsang/bottom.git,b77d3175028849824e987c35177e8f61450d72e7
Dogfalo/materialize,https://github.com/Dogfalo/materialize.git,824e78248b3de81e383445e76ffb04cc3264fe7d
FiloSottile/age,https://github.com/FiloSottile/age.git,b74dce4cdbe35b5e5f66c06d9612b72f89028758
FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT.git,11cdf466d042aece04fc6cfd13b28e1a70341b1f
FuelLabs/fuels-rs,https://github.com/FuelLabs/fuels-rs.git,d9a250a51818dda64bfeb5ef7cc19cf27bdcd623
GoogleChrome/lighthouse,https://github.com/GoogleChrome/lighthouse.git,74d982bd211c5fb12c4b2c18c4a1fc8bc17f6b6c
Graphify-Labs/graphify,https://github.com/Graphify-Labs/graphify.git,67f99bd0059dd1bac9e44382907ef9f10098b39f
HKUDS/DeepTutor,https://github.com/HKUDS/DeepTutor.git,7a96bba1ae03401644c17763a2411c28aff3dcc9
HKUDS/LightRAG,https://github.com/HKUDS/LightRAG.git,3423e22eabcf7f68a5ab7098c3d7eb306b73db00
HKUDS/nanobot,https://github.com/HKUDS/nanobot.git,fea28b1a001460343440d5530d30e37ea634c619
