experiment,panel,model,interface,condition,prompt_class,arm,n,correct,accuracy,valid_finals,parser_rejections,action_rejections,tool_calls
authentic_repository_evaluation,,Qwen3,NATIVE_TOOL_CALL,CLEAN,,CLEAN,32,27,0.84375,0,0,0,80
authentic_repository_evaluation,,Qwen3,NATIVE_TOOL_CALL,DISRUPT,,DISRUPT,32,14,0.4375,0,0,0,81
authentic_repository_evaluation,,Qwen3,NATIVE_TOOL_CALL,PRESERVE,,PRESERVE,32,26,0.8125,0,0,0,78
closed_book_no_tools,,Gemma3,,,,CLOSED_BOOK,48,2,0.041666666666666664,48,0,0,0
closed_book_no_tools,,InternLM2.5,,,,CLOSED_BOOK,48,0,0.0,48,0,0,0
closed_book_no_tools,,Qwen3,,,,CLOSED_BOOK,48,1,0.020833333333333332,48,0,0,0
closed_book_no_tools,,Yi-1.5,,,,CLOSED_BOOK,48,0,0.0,48,0,0,0
file_format_boundary,,Gemma3,PARALLEL,CLEAN,DEPLOYMENT_YAML,BASE,4,4,1.0,4,0,0,6
file_format_boundary,,Gemma3,PARALLEL,CLEAN,DEPLOYMENT_YAML,PLACEBO,4,4,1.0,4,0,0,6
file_format_boundary,,Gemma3,PARALLEL,CLEAN,DOCKERFILE,BASE,4,4,1.0,4,0,0,9
file_format_boundary,,Gemma3,PARALLEL,CLEAN,DOCKERFILE,PLACEBO,4,4,1.0,4,0,0,10
file_format_boundary,,Gemma3,PARALLEL,CLEAN,GITHUB_ACTIONS,BASE,4,4,1.0,4,0,0,9
file_format_boundary,,Gemma3,PARALLEL,CLEAN,GITHUB_ACTIONS,PLACEBO,4,4,1.0,4,0,0,10
file_format_boundary,,Gemma3,PARALLEL,CLEAN,LOCKFILE,BASE,4,4,1.0,4,0,0,7
file_format_boundary,,Gemma3,PARALLEL,CLEAN,LOCKFILE,PLACEBO,4,4,1.0,4,0,0,13
file_format_boundary,,Gemma3,PARALLEL,CLEAN,PRECOMMIT_YAML,BASE,4,4,1.0,4,0,0,8
file_format_boundary,,Gemma3,PARALLEL,CLEAN,PRECOMMIT_YAML,PLACEBO,4,3,0.75,4,0,0,9
file_format_boundary,,Gemma3,PARALLEL,CLEAN,TOX_INI,BASE,4,4,1.0,4,0,0,5
file_format_boundary,,Gemma3,PARALLEL,CLEAN,TOX_INI,PLACEBO,4,4,1.0,4,0,0,6
file_format_boundary,,Gemma3,PARALLEL,DISRUPT,DEPLOYMENT_YAML,BASE,4,2,0.5,4,0,0,10
file_format_boundary,,Gemma3,PARALLEL,DISRUPT,DEPLOYMENT_YAML,PLACEBO,4,2,0.5,4,0,0,8
file_format_boundary,,Gemma3,PARALLEL,DISRUPT,DOCKERFILE,BASE,4,3,0.75,4,0,0,13
file_format_boundary,,Gemma3,PARALLEL,DISRUPT,DOCKERFILE,PLACEBO,4,4,1.0,4,0,0,12
file_format_boundary,,Gemma3,PARALLEL,DISRUPT,GITHUB_ACTIONS,BASE,4,3,0.75,4,0,0,10
file_format_boundary,,Gemma3,PARALLEL,DISRUPT,GITHUB_ACTIONS,PLACEBO,4,3,0.75,4,0,0,10
file_format_boundary,,Gemma3,PARALLEL,DISRUPT,LOCKFILE,BASE,4,3,0.75,4,0,0,7
file_format_boundary,,Gemma3,PARALLEL,DISRUPT,LOCKFILE,PLACEBO,4,3,0.75,4,0,0,14
file_format_boundary,,Gemma3,PARALLEL,DISRUPT,PRECOMMIT_YAML,BASE,4,4,1.0,4,0,0,11
file_format_boundary,,Gemma3,PARALLEL,DISRUPT,PRECOMMIT_YAML,PLACEBO,4,2,0.5,4,0,0,13
file_format_boundary,,Gemma3,PARALLEL,DISRUPT,TOX_INI,BASE,4,2,0.5,4,0,0,6
file_format_boundary,,Gemma3,PARALLEL,DISRUPT,TOX_INI,PLACEBO,4,0,0.0,4,0,0,6
file_format_boundary,,Gemma3,SERIAL,CLEAN,DEPLOYMENT_YAML,BASE,4,4,1.0,4,0,0,6
file_format_boundary,,Gemma3,SERIAL,CLEAN,DEPLOYMENT_YAML,PLACEBO,4,4,1.0,4,0,0,6
file_format_boundary,,Gemma3,SERIAL,CLEAN,DOCKERFILE,BASE,4,4,1.0,4,0,0,10
file_format_boundary,,Gemma3,SERIAL,CLEAN,DOCKERFILE,PLACEBO,4,4,1.0,4,0,0,9
file_format_boundary,,Gemma3,SERIAL,CLEAN,GITHUB_ACTIONS,BASE,4,4,1.0,4,0,0,9
file_format_boundary,,Gemma3,SERIAL,CLEAN,GITHUB_ACTIONS,PLACEBO,4,4,1.0,4,0,0,10
file_format_boundary,,Gemma3,SERIAL,CLEAN,LOCKFILE,BASE,4,4,1.0,4,0,0,8
file_format_boundary,,Gemma3,SERIAL,CLEAN,LOCKFILE,PLACEBO,4,4,1.0,4,0,0,8
file_format_boundary,,Gemma3,SERIAL,CLEAN,PRECOMMIT_YAML,BASE,4,4,1.0,4,0,0,8
file_format_boundary,,Gemma3,SERIAL,CLEAN,PRECOMMIT_YAML,PLACEBO,4,4,1.0,4,0,0,9
file_format_boundary,,Gemma3,SERIAL,CLEAN,TOX_INI,BASE,4,4,1.0,4,0,0,5
file_format_boundary,,Gemma3,SERIAL,CLEAN,TOX_INI,PLACEBO,4,4,1.0,4,0,0,5
file_format_boundary,,Gemma3,SERIAL,DISRUPT,DEPLOYMENT_YAML,BASE,4,2,0.5,4,0,0,10
file_format_boundary,,Gemma3,SERIAL,DISRUPT,DEPLOYMENT_YAML,PLACEBO,4,2,0.5,4,0,0,10
file_format_boundary,,Gemma3,SERIAL,DISRUPT,DOCKERFILE,BASE,4,4,1.0,4,0,0,13
file_format_boundary,,Gemma3,SERIAL,DISRUPT,DOCKERFILE,PLACEBO,4,4,1.0,4,0,0,10
file_format_boundary,,Gemma3,SERIAL,DISRUPT,GITHUB_ACTIONS,BASE,4,3,0.75,4,0,0,10
file_format_boundary,,Gemma3,SERIAL,DISRUPT,GITHUB_ACTIONS,PLACEBO,4,3,0.75,4,0,0,11
file_format_boundary,,Gemma3,SERIAL,DISRUPT,LOCKFILE,BASE,4,3,0.75,4,0,0,8
file_format_boundary,,Gemma3,SERIAL,DISRUPT,LOCKFILE,PLACEBO,4,3,0.75,4,0,0,7
file_format_boundary,,Gemma3,SERIAL,DISRUPT,PRECOMMIT_YAML,BASE,4,4,1.0,4,0,0,11
file_format_boundary,,Gemma3,SERIAL,DISRUPT,PRECOMMIT_YAML,PLACEBO,4,4,1.0,4,0,0,11
file_format_boundary,,Gemma3,SERIAL,DISRUPT,TOX_INI,BASE,4,2,0.5,4,0,0,6
file_format_boundary,,Gemma3,SERIAL,DISRUPT,TOX_INI,PLACEBO,4,2,0.5,4,0,0,6
file_format_boundary,,InternLM2.5,PARALLEL,CLEAN,DEPLOYMENT_YAML,BASE,4,4,1.0,4,0,0,18
file_format_boundary,,InternLM2.5,PARALLEL,CLEAN,DEPLOYMENT_YAML,PLACEBO,4,4,1.0,4,0,0,18
file_format_boundary,,InternLM2.5,PARALLEL,CLEAN,DOCKERFILE,BASE,4,4,1.0,4,0,0,11
file_format_boundary,,InternLM2.5,PARALLEL,CLEAN,DOCKERFILE,PLACEBO,4,4,1.0,4,0,0,14
file_format_boundary,,InternLM2.5,PARALLEL,CLEAN,GITHUB_ACTIONS,BASE,4,4,1.0,4,0,0,17
file_format_boundary,,InternLM2.5,PARALLEL,CLEAN,GITHUB_ACTIONS,PLACEBO,4,4,1.0,4,0,0,15
file_format_boundary,,InternLM2.5,PARALLEL,CLEAN,LOCKFILE,BASE,4,4,1.0,4,0,0,15
